can_number,region_number,can_name,can_vote,region_name
1,100000200000000,朱立倫,"51,581",臺北市士林區
1,100000100000000,朱立倫,"47,931",臺北市北投區
2,100000100000000,蔡英文,"78,971",臺北市北投區
3,100000100000000,宋楚瑜,"14,163",臺北市北投區
1,100000300000000,朱立倫,"19,312",臺北市大同區
2,100000300000000,蔡英文,"45,920",臺北市大同區
3,100000300000000,宋楚瑜,"7,257",臺北市大同區
1,100000400000000,朱立倫,"43,333",臺北市中山區
2,100000400000000,蔡英文,"69,001",臺北市中山區
3,100000400000000,宋楚瑜,"13,195",臺北市中山區
1,100000500000000,朱立倫,"45,353",臺北市松山區
2,100000500000000,蔡英文,"54,812",臺北市松山區
3,100000500000000,宋楚瑜,"11,710",臺北市松山區
1,100000600000000,朱立倫,"57,500",臺北市內湖區
2,100000600000000,蔡英文,"77,297",臺北市內湖區
3,100000600000000,宋楚瑜,"17,327",臺北市內湖區
1,100000700000000,朱立倫,"23,860",臺北市南港區
2,100000700000000,蔡英文,"34,593",臺北市南港區
3,100000700000000,宋楚瑜,"7,703",臺北市南港區
1,100000800000000,朱立倫,"37,911",臺北市萬華區
2,100000800000000,蔡英文,"60,566",臺北市萬華區
3,100000800000000,宋楚瑜,"11,239",臺北市萬華區
2,100000200000000,蔡英文,"93,585",臺北市士林區
3,100000200000000,宋楚瑜,"15,348",臺北市士林區
1,100000900000000,朱立倫,"33,780",臺北市中正區
2,100000900000000,蔡英文,"41,640",臺北市中正區
3,100000900000000,宋楚瑜,"9,015",臺北市中正區
1,100001100000000,朱立倫,"50,633",臺北市信義區
2,100001100000000,蔡英文,"60,817",臺北市信義區
3,100001100000000,宋楚瑜,"13,549",臺北市信義區
1,100001000000000,朱立倫,"69,737",臺北市大安區
2,100001000000000,蔡英文,"76,278",臺北市大安區
3,100001000000000,宋楚瑜,"16,442",臺北市大安區
1,200000100000000,朱立倫,"2,431",新北市石門區
2,200000100000000,蔡英文,"3,199",新北市石門區
3,200000100000000,宋楚瑜,602,新北市石門區
1,200000300000000,朱立倫,"31,080",新北市淡水區
2,200000300000000,蔡英文,"44,551",新北市淡水區
3,200000300000000,宋楚瑜,"9,473",新北市淡水區
1,100001200000000,朱立倫,"65,560",臺北市文山區
2,100001200000000,蔡英文,"63,903",臺北市文山區
3,100001200000000,宋楚瑜,"16,856",臺北市文山區
1,200000500000000,朱立倫,"16,800",新北市林口區
2,200000500000000,蔡英文,"25,267",新北市林口區
3,200000500000000,宋楚瑜,"6,914",新北市林口區
1,200000200000000,朱立倫,"4,428",新北市三芝區
2,200000200000000,蔡英文,"6,182",新北市三芝區
3,200000200000000,宋楚瑜,"1,230",新北市三芝區
1,200000400000000,朱立倫,"6,231",新北市八里區
2,200000400000000,蔡英文,"10,907",新北市八里區
3,200000400000000,宋楚瑜,"2,505",新北市八里區
1,200000700000000,朱立倫,"12,466",新北市五股區
2,200000700000000,蔡英文,"25,832",新北市五股區
3,200000700000000,宋楚瑜,"5,086",新北市五股區
1,200001100000000,朱立倫,"28,553",新北市樹林區
2,200001100000000,蔡英文,"56,357",新北市樹林區
3,200001100000000,宋楚瑜,"11,940",新北市樹林區
1,200000800000000,朱立倫,"25,696",新北市蘆洲區
2,200000800000000,蔡英文,"65,650",新北市蘆洲區
3,200000800000000,宋楚瑜,"11,538",新北市蘆洲區
1,200001200000000,朱立倫,"13,152",新北市鶯歌區
2,200001200000000,蔡英文,"26,487",新北市鶯歌區
3,200001200000000,宋楚瑜,"5,968",新北市鶯歌區
1,200000600000000,朱立倫,"12,190",新北市泰山區
2,200000600000000,蔡英文,"23,671",新北市泰山區
3,200000600000000,宋楚瑜,"4,938",新北市泰山區
1,200000900000000,朱立倫,"58,077",新北市三重區
2,200000900000000,蔡英文,"134,575",新北市三重區
3,200000900000000,宋楚瑜,"24,853",新北市三重區
1,200001300000000,朱立倫,"94,831",新北市板橋區
2,200001300000000,蔡英文,"176,162",新北市板橋區
3,200001300000000,宋楚瑜,"33,649",新北市板橋區
1,200001000000000,朱立倫,"59,249",新北市新莊區
2,200001000000000,蔡英文,"131,027",新北市新莊區
3,200001000000000,宋楚瑜,"26,039",新北市新莊區
1,200001400000000,朱立倫,"93,211",新北市中和區
2,200001400000000,蔡英文,"111,200",新北市中和區
3,200001400000000,宋楚瑜,"28,207",新北市中和區
1,200001500000000,朱立倫,"54,466",新北市永和區
2,200001500000000,蔡英文,"53,214",新北市永和區
3,200001500000000,宋楚瑜,"15,051",新北市永和區
1,200001600000000,朱立倫,"39,199",新北市土城區
2,200001600000000,蔡英文,"71,733",新北市土城區
3,200001600000000,宋楚瑜,"14,898",新北市土城區
1,200001700000000,朱立倫,"17,711",新北市三峽區
2,200001700000000,蔡英文,"30,995",新北市三峽區
3,200001700000000,宋楚瑜,"7,388",新北市三峽區
1,200001800000000,朱立倫,"75,420",新北市新店區
2,200001800000000,蔡英文,"69,922",新北市新店區
3,200001800000000,宋楚瑜,"20,156",新北市新店區
1,200001900000000,朱立倫,"4,582",新北市深坑區
2,200001900000000,蔡英文,"6,702",新北市深坑區
3,200001900000000,宋楚瑜,"1,500",新北市深坑區
1,200002000000000,朱立倫,"1,140",新北市石碇區
2,200002000000000,蔡英文,"2,786",新北市石碇區
3,200002000000000,宋楚瑜,450,新北市石碇區
1,200002100000000,朱立倫,927,新北市坪林區
2,200002100000000,蔡英文,"2,438",新北市坪林區
3,200002100000000,宋楚瑜,300,新北市坪林區
1,200002200000000,朱立倫,"1,156",新北市烏來區
2,200002200000000,蔡英文,"1,295",新北市烏來區
3,200002200000000,宋楚瑜,586,新北市烏來區
1,200002300000000,朱立倫,"3,471",新北市金山區
2,200002300000000,蔡英文,"6,596",新北市金山區
3,200002300000000,宋楚瑜,"1,104",新北市金山區
1,200002400000000,朱立倫,"3,779",新北市萬里區
2,200002400000000,蔡英文,"6,017",新北市萬里區
3,200002400000000,宋楚瑜,"1,245",新北市萬里區
1,200002500000000,朱立倫,"37,513",新北市汐止區
2,200002500000000,蔡英文,"53,546",新北市汐止區
3,200002500000000,宋楚瑜,"12,922",新北市汐止區
1,200002600000000,朱立倫,852,新北市平溪區
2,200002600000000,蔡英文,"1,581",新北市平溪區
3,200002600000000,宋楚瑜,266,新北市平溪區
1,200002700000000,朱立倫,"7,325",新北市瑞芳區
2,200002700000000,蔡英文,"10,874",新北市瑞芳區
3,200002700000000,宋楚瑜,"2,707",新北市瑞芳區
1,200002800000000,朱立倫,"1,713",新北市雙溪區
2,200002800000000,蔡英文,"2,620",新北市雙溪區
3,200002800000000,宋楚瑜,486,新北市雙溪區
1,300000100000000,朱立倫,"22,563",桃園市蘆竹區
2,300000100000000,蔡英文,"43,527",桃園市蘆竹區
3,300000100000000,宋楚瑜,"10,187",桃園市蘆竹區
1,300000200000000,朱立倫,"24,434",桃園市龜山區
2,300000200000000,蔡英文,"39,495",桃園市龜山區
3,300000200000000,宋楚瑜,"10,293",桃園市龜山區
1,300000300000000,朱立倫,"70,295",桃園市桃園區
2,300000300000000,蔡英文,"113,237",桃園市桃園區
3,300000300000000,宋楚瑜,"30,352",桃園市桃園區
1,200002900000000,朱立倫,"1,725",新北市貢寮區
2,200002900000000,蔡英文,"4,502",新北市貢寮區
3,200002900000000,宋楚瑜,485,新北市貢寮區
1,300000400000000,朱立倫,"12,256",桃園市大園區
2,300000400000000,蔡英文,"25,620",桃園市大園區
3,300000400000000,宋楚瑜,"5,800",桃園市大園區
1,300000500000000,朱立倫,"8,193",桃園市觀音區
2,300000500000000,蔡英文,"20,639",桃園市觀音區
3,300000500000000,宋楚瑜,"4,410",桃園市觀音區
1,300000900000000,朱立倫,"40,402",桃園市平鎮區
2,300000900000000,蔡英文,"53,999",桃園市平鎮區
3,300000900000000,宋楚瑜,"17,617",桃園市平鎮區
1,300000600000000,朱立倫,"7,619",桃園市新屋區
2,300000600000000,蔡英文,"15,897",桃園市新屋區
3,300000600000000,宋楚瑜,"3,327",桃園市新屋區
1,300000700000000,朱立倫,"28,747",桃園市楊梅區
