縣市 ID, 鄉鎮市區 ID, URL
北投區 , 1000001 , http://www.cec.gov.tw/zh_TW/P1/n100000100000000.html
士林區 , 1000002 , http://www.cec.gov.tw/zh_TW/P1/n100000200000000.html
大同區 , 1000003 , http://www.cec.gov.tw/zh_TW/P1/n100000300000000.html
中山區 , 1000004 , http://www.cec.gov.tw/zh_TW/P1/n100000400000000.html
松山區 , 1000005 , http://www.cec.gov.tw/zh_TW/P1/n100000500000000.html
內湖區 , 1000006 , http://www.cec.gov.tw/zh_TW/P1/n100000600000000.html
南港區 , 1000007 , http://www.cec.gov.tw/zh_TW/P1/n100000700000000.html
萬華區 , 1000008 , http://www.cec.gov.tw/zh_TW/P1/n100000800000000.html
中正區 , 1000009 , http://www.cec.gov.tw/zh_TW/P1/n100000900000000.html
大安區 , 1000010 , http://www.cec.gov.tw/zh_TW/P1/n100001000000000.html
信義區 , 1000011 , http://www.cec.gov.tw/zh_TW/P1/n100001100000000.html
文山區 , 1000012 , http://www.cec.gov.tw/zh_TW/P1/n100001200000000.html
石門區 , 2000001 , http://www.cec.gov.tw/zh_TW/P1/n200000100000000.html
三芝區 , 2000002 , http://www.cec.gov.tw/zh_TW/P1/n200000200000000.html
淡水區 , 2000003 , http://www.cec.gov.tw/zh_TW/P1/n200000300000000.html
八里區 , 2000004 , http://www.cec.gov.tw/zh_TW/P1/n200000400000000.html
林口區 , 2000005 , http://www.cec.gov.tw/zh_TW/P1/n200000500000000.html
泰山區 , 2000006 , http://www.cec.gov.tw/zh_TW/P1/n200000600000000.html
五股區 , 2000007 , http://www.cec.gov.tw/zh_TW/P1/n200000700000000.html
蘆洲區 , 2000008 , http://www.cec.gov.tw/zh_TW/P1/n200000800000000.html
三重區 , 2000009 , http://www.cec.gov.tw/zh_TW/P1/n200000900000000.html
新莊區 , 2000010 , http://www.cec.gov.tw/zh_TW/P1/n200001000000000.html
樹林區 , 2000011 , http://www.cec.gov.tw/zh_TW/P1/n200001100000000.html
鶯歌區 , 2000012 , http://www.cec.gov.tw/zh_TW/P1/n200001200000000.html
板橋區 , 2000013 , http://www.cec.gov.tw/zh_TW/P1/n200001300000000.html
中和區 , 2000014 , http://www.cec.gov.tw/zh_TW/P1/n200001400000000.html
永和區 , 2000015 , http://www.cec.gov.tw/zh_TW/P1/n200001500000000.html
