can_number,region_number,can_name,can_vote,region_name
1,100000200000000,朱立倫,"51,581",總統副總統選舉 候選人在 臺北市 士林區得票數 
1,100000100000000,朱立倫,"47,931",總統副總統選舉 候選人在 臺北市 北投區得票數 
2,100000100000000,蔡英文,"78,971",總統副總統選舉 候選人在 臺北市 北投區得票數 
3,100000100000000,宋楚瑜,"14,163",總統副總統選舉 候選人在 臺北市 北投區得票數 
1,100000300000000,朱立倫,"19,312",總統副總統選舉 候選人在 臺北市 大同區得票數 
2,100000300000000,蔡英文,"45,920",總統副總統選舉 候選人在 臺北市 大同區得票數 
3,100000300000000,宋楚瑜,"7,257",總統副總統選舉 候選人在 臺北市 大同區得票數 
1,100000400000000,朱立倫,"43,333",總統副總統選舉 候選人在 臺北市 中山區得票數 
2,100000400000000,蔡英文,"69,001",總統副總統選舉 候選人在 臺北市 中山區得票數 
3,100000400000000,宋楚瑜,"13,195",總統副總統選舉 候選人在 臺北市 中山區得票數 
1,100000500000000,朱立倫,"45,353",總統副總統選舉 候選人在 臺北市 松山區得票數 
2,100000500000000,蔡英文,"54,812",總統副總統選舉 候選人在 臺北市 松山區得票數 
3,100000500000000,宋楚瑜,"11,710",總統副總統選舉 候選人在 臺北市 松山區得票數 
1,100000600000000,朱立倫,"57,500",總統副總統選舉 候選人在 臺北市 內湖區得票數 
2,100000600000000,蔡英文,"77,297",總統副總統選舉 候選人在 臺北市 內湖區得票數 
3,100000600000000,宋楚瑜,"17,327",總統副總統選舉 候選人在 臺北市 內湖區得票數 
1,100000700000000,朱立倫,"23,860",總統副總統選舉 候選人在 臺北市 南港區得票數 
2,100000700000000,蔡英文,"34,593",總統副總統選舉 候選人在 臺北市 南港區得票數 
3,100000700000000,宋楚瑜,"7,703",總統副總統選舉 候選人在 臺北市 南港區得票數 
1,100000800000000,朱立倫,"37,911",總統副總統選舉 候選人在 臺北市 萬華區得票數 
2,100000800000000,蔡英文,"60,566",總統副總統選舉 候選人在 臺北市 萬華區得票數 
3,100000800000000,宋楚瑜,"11,239",總統副總統選舉 候選人在 臺北市 萬華區得票數 
